station_abbr,reference_timestamp,air_temperature_2_m_above_ground,air_temperature_at_5_cm_above_grass,air_temperature_at_surface,chill_temperature,relative_air_humidity_2_m_above_ground,dew_point_2_m_above_ground,vapour_pressure_2_m_above_ground,atmospheric_pressure_at_barometric_altitude_qfe,pressure_reduced_to_sea_level_according_to_standard_atmosphere_qnh,pressure_reduced_to_sea_level_qff,geopotential_height_of_the_850_hpa_level,geopotential_height_of_the_700_hpa_level,gust_peak_one_second,wind_speed_vectoriel,wind_speed_scalar,wind_direction,foehn_index,wind_speed,gust_peak_three_seconds,gust_peak_one_second,gust_peak_three_seconds,precipitation,snow_depth_automatic_measurement,global_radiation,diffuse_radiation,longwave_incoming_radiation,longwave_outgoing_radiation,shortwave_reflected_radiation,sunshine_duration,tso005s0,tso010s0,tso020s0
TAE,2025-12-03 22:00:00,1.3,1.1,1.0,1.3,88.9,-0.3,6.0,950.4,1013.6,1015.8,,,1.1,0.4,0.5,234,,1.8,1.1,4.0,4.0,0.0,0.0,1,0.0,316.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 22:10:00,1.2,1.2,1.1,1.2,90.4,-0.2,6.0,950.3,1013.4,1015.7,,,1.5,0.5,0.6,290,,2.2,1.5,5.4,5.4,0.0,0.0,1,0.0,317.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 22:20:00,1.2,1.2,1.1,1.2,90.1,-0.2,6.0,950.1,1013.2,1015.5,,,1.5,0.8,0.8,349,,2.9,1.5,5.4,5.4,0.0,0.0,1,0.0,317.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 22:30:00,1.2,1.2,1.1,1.2,90.3,-0.2,6.0,950.2,1013.3,1015.6,,,0.8,0.5,0.5,303,,1.8,0.8,2.9,2.9,0.0,0.0,1,0.0,317.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 22:40:00,1.4,1.3,1.1,1.4,88.9,-0.2,6.0,950.2,1013.3,1015.5,,,2.0,0.7,0.8,272,,2.9,2.0,7.2,7.2,0.0,0.0,1,0.0,318.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 22:50:00,1.3,1.3,1.1,-0.3,90.2,-0.1,6.1,950.2,1013.3,1015.6,,,2.3,1.4,1.5,285,,5.4,2.3,8.3,8.3,0.0,0.0,1,0.0,318.0,323.0,-7,0,4.2,5.2,4.7
TAE,2025-12-03 23:00:00,1.1,1.2,1.1,1.1,92.4,0.0,6.1,950.2,1013.3,1015.6,,,1.7,0.8,0.9,279,,3.2,1.7,6.1,6.1,0.0,0.0,1,0.0,318.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 23:10:00,1.4,1.3,1.1,1.4,90.4,0.0,6.1,950.1,1013.2,1015.4,,,1.4,0.7,0.7,292,,2.5,1.4,5.0,5.0,0.0,0.0,1,0.0,318.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 23:20:00,1.1,1.3,1.2,1.1,92.8,0.1,6.1,950.0,1013.1,1015.4,,,0.9,0.4,0.4,352,,1.4,0.9,3.2,3.2,0.0,0.0,1,0.0,318.0,323.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 23:30:00,1.2,1.3,1.2,1.2,93.0,0.2,6.2,950.0,1013.1,1015.4,,,1.4,0.8,0.8,328,,2.9,1.4,5.0,5.0,0.0,0.0,1,0.0,318.0,324.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 23:40:00,1.3,1.3,1.2,1.3,91.1,0.0,6.1,949.9,1013.0,1015.2,,,0.9,0.6,0.6,302,,2.2,0.9,3.2,3.2,0.0,0.0,1,0.0,319.0,324.0,-6,0,4.2,5.2,4.7
TAE,2025-12-03 23:50:00,1.2,1.3,1.2,1.2,93.2,0.2,6.2,949.9,1013.0,1015.3,,,1.7,0.6,0.7,247,,2.5,1.7,6.1,6.1,0.0,0.0,1,0.0,319.0,324.0,-6,0,4.2,5.2,4.7
